t,x_0,x_1,x_2,
5650,-0.0154574486687,-0.00897116183934,-0.19252724512,
5678,-0.0159166794332,-0.00924220035385,-0.192930466414,
5705,-0.0159166794332,-0.00924220035385,-0.192930466414,
5726,-0.0154954505082,-0.00912159864538,-0.192033162472,
5763,-0.0165649063878,-0.00975947398627,-0.193285623806,
5763,-0.0165649063878,-0.00975947398627,-0.193285623806,
5784,-0.0165649063878,-0.00975947398627,-0.193285623806,
5806,-0.0158967104683,-0.0095942349362,-0.192016839061,
5824,-0.0160338684776,-0.00967632156511,-0.19204701044,
5842,-0.016897306278,-0.0101948954925,-0.192171132347,
5860,-0.016897306278,-0.0101948954925,-0.192171132347,
5880,-0.0170915540423,-0.0103101647354,-0.192215222033,
5895,-0.0168168441405,-0.010089293073,-0.191643264572,
5916,-0.0171223297578,-0.0102725044556,-0.191690552951,
5933,-0.0171223297578,-0.0102725044556,-0.191690552951,
5955,-0.0174756889063,-0.0104843762683,-0.191738946966,
5975,-0.01701026202,-0.0103392078846,-0.190855895756,
5997,-0.0179165358123,-0.0108870804313,-0.190949082654,
6012,-0.0182230182606,-0.0110731859032,-0.191005159555,
6040,-0.0184524432425,-0.0112123762629,-0.191066025094,
6056,-0.0195489767449,-0.0118780475819,-0.191247346346,
6079,-0.0200393316011,-0.0121742263225,-0.191458288959,
6100,-0.0200393316011,-0.0121742263225,-0.191458288959,
6124,-0.0200393316011,-0.0121742263225,-0.191458288959,
6144,-0.0195835891757,-0.0120375498172,-0.191706423381,
6163,-0.020403319918,-0.0125407547916,-0.192026910589,
6181,-0.0206971526202,-0.0127200295181,-0.192133376154,
6201,-0.0195179057656,-0.0122901108351,-0.190766702709,
6252,-0.0200940905034,-0.012647229205,-0.190938034483,
6252,-0.0200940905034,-0.012647229205,-0.190938034483,
6265,-0.0221865700621,-0.0139128510977,-0.192221038084,
6290,-0.020900675615,-0.0131311998423,-0.190608345045,
6309,-0.0220719539205,-0.0138343235344,-0.191307428298,
6333,-0.0237381649383,-0.0148344876522,-0.192232746725,
6353,-0.0240917469826,-0.0150479819682,-0.192460192624,
6371,-0.0252454953548,-0.0157434101856,-0.193172743962,
6389,-0.0252454953548,-0.0157434101856,-0.193172743962,
6406,-0.0251007591405,-0.0155129162778,-0.192640123844,
6424,-0.0251007591405,-0.0155129162778,-0.192640123844,
6443,-0.0267002014634,-0.0164704521748,-0.193474763345,
6461,-0.0275841042856,-0.0170022622766,-0.193867393066,
6483,-0.0279795321542,-0.0172411406649,-0.19413694998,
6509,-0.0268715660511,-0.0166442028461,-0.192936428717,
6531,-0.0282463532027,-0.017465130846,-0.1936500014,
6553,-0.0293700176893,-0.0181414383005,-0.194170918954,
6588,-0.030410469008,-0.0187619455908,-0.194641452731,
6598,-0.0286104048946,-0.0176359483116,-0.193638597352,
6623,-0.0296825206658,-0.0182897595766,-0.194098100898,
6654,-0.0311557152273,-0.0191811278036,-0.194746011823,
6662,-0.0311557152273,-0.0191811278036,-0.194746011823,
6677,-0.0311557152273,-0.0191811278036,-0.194746011823,
6701,-0.032894178074,-0.0202177661753,-0.19551028913,
6723,-0.032894178074,-0.0202177661753,-0.19551028913,
6744,-0.0345168752658,-0.0212051566006,-0.196293708624,
6759,-0.0332561306948,-0.0203656176068,-0.194848041548,
6774,-0.034009709163,-0.0208284688874,-0.195591171176,
6797,-0.034009709163,-0.0208284688874,-0.195591171176,
6810,-0.0347707044501,-0.0213008621029,-0.196709800359,
6835,-0.0328811305664,-0.0203774672814,-0.197591461134,
6852,-0.0331702823409,-0.0205632817516,-0.198530327724,
6874,-0.0339830512502,-0.0210938416091,-0.20211554678,
6890,-0.0319625187482,-0.019921532633,-0.205443882175,
6908,-0.0323206225898,-0.0201667784341,-0.209063503835,
6936,-0.0325863138378,-0.0203523040135,-0.212846280323,
6954,-0.0325863138378,-0.0203523040135,-0.212846280323,
6970,-0.0330417855314,-0.0206856450766,-0.224522188234,
6992,-0.0305974560563,-0.0189196532016,-0.228632491623,
7015,-0.0307007717249,-0.0190118104605,-0.23945028348,
7036,-0.03070982782,-0.0190318706532,-0.245455961092,
7052,-0.0306978831291,-0.0190349974937,-0.250240314945,
7071,-0.0306608400381,-0.0190232851164,-0.256547232151,
7087,-0.0305974745021,-0.018994475608,-0.263342866057,
7112,-0.0276983974007,-0.0174572842164,-0.272063014657,
7129,-0.0275163175674,-0.0173592987713,-0.282297186531,
7148,-0.0272428851802,-0.0172063814974,-0.295881532037,
7167,-0.0271368477235,-0.0171455503824,-0.300838385309,
7194,-0.0239245547097,-0.0151845843497,-0.320077016596,
7209,-0.0237324068167,-0.0150709436262,-0.32780603485,
7234,-0.0234570909663,-0.0149077379803,-0.338724880833,
7249,-0.0229880156513,-0.0146272451788,-0.357237892302,
7273,-0.022900900121,-0.014574721424,-0.36068475071,
7295,-0.0196024599491,-0.0122746679646,-0.386640628358,
7311,-0.0192941068168,-0.0120806703881,-0.398660122125,
7333,-0.0189368118638,-0.0118545998584,-0.412902848712,
7364,-0.0186346816202,-0.0116625703297,-0.425206272932,
7370,-0.0186346816202,-0.0116625703297,-0.425206272932,
7397,-0.0152308631561,-0.00933047654803,-0.456900478938,
7413,-0.0150959028904,-0.00924236165717,-0.462479597487,
7433,-0.0149156600753,-0.00912442962276,-0.470004983759,
7453,-0.0142526333139,-0.00869071007373,-0.498411595587,
7470,-0.0140321214823,-0.0085466327579,-0.508164865073,
7498,-0.0139108487058,-0.00846727952655,-0.513614010471,
7515,-0.0106472622144,-0.00657758812698,-0.525312069899,
7535,-0.0101362899925,-0.0062471861603,-0.547719574057,
7565,-0.00969422497138,-0.00596080113464,-0.567999282836,
